fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
10,3792,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10347,,0,0,0
11,5622,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10862,,0,0,0
12,0,Snowpeak,11S-02E-13,53,538393,4939770,99.6446,WY,1,0,0,1,0,0,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20194,HU,1,0,0
13,13800,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10879,,0,0,0
14,11291,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10093,,0,0,0
15,16244,Snowpeak,10S-02E-30,53,530940,4947070,117.584,WY,0,0,0,0,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20698,HU,1,0,0
16,72093,Snowpeak,11S-01E-22,67,526392,4938420,52.6652,WY,1,0,0,1,0,0,1,2018,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,21213,HU,1,0,0
17,0,Clackamas,05S-04E-06,55,550749,5000710,96.9589,PBTF,1,0,0,1,0,1,1,2020,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,408161,UU,1,1,0
19,2488,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10106,,0,0,0
20,76939,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,11087,,0,0,0
21,1909,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10107,,0,0,0
24,72385,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,11079,HB,0,1,0
25,14868,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10067,,0,0,0
29,3053,Snowpeak,11S-02E-17,62,530560,4938730,127.283,WY,1,0,0,1,0,1,1,2023,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20288,HU,1,0,0
30,2934,Snowpeak,11S-01E-12,60,529016,4941360,101.558,WY,1,0,0,0,0,1,1,2016,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20543,HU,1,0,0
33,3406,Snowpeak,12S-02E-07,72,531517,4931670,54.6521,WY,1,0,0,1,0,1,1,2014,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20031,HU,1,0,0
34,20946,Snowpeak,11S-02E-18,62,530398,4939440,86.242,WY,1,0,0,1,0,0,0,2019,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20291,HU,1,0,0
35,2665,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10060,,0,0,0
36,36420,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10061,,0,0,0
38,6852,Snowpeak,11S-01E-14,60,528034,4939980,66.6557,WY,1,0,0,1,0,1,1,2020,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20535,HU,1,0,0
39,25648,Snowpeak,11S-02E-19,71,530489,4937370,110.907,WY,1,0,0,1,0,1,1,2014,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20281,HU,1,0,0
40,10140,Snowpeak,11S-01E-13,62,529256,4939910,106.361,WY,0,0,0,1,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20536,HU,1,0,0
41,29853,Snowpeak,11S-02E-20,69,531833,4937880,50.1,WY,1,0,0,1,0,1,1,2020,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20283,HU,1,0,0
42,10379,Snowpeak,"11S-01E-12, 13",60,529422,4940880,64.3222,WY,1,0,0,1,0,1,0,2018,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20538,HU,1,0,0
43,11732,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10082,,0,0,0
45,2602,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10083,,0,0,0
46,2927,Snowpeak,11S-02E-07,55,530265,4941610,40.3206,WY,1,0,0,1,0,1,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20540,HU,1,0,0
47,2566,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10085,,0,0,0
48,16558,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10584,,0,0,0
49,2464,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10086,,0,0,0
50,0,Snowpeak,11S-01E-34,85,526233,4935370,71.0804,WY,0,0,0,1,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20497,HU,1,0,0
51,110116,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10075,,0,0,0
52,16419,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10077,,0,0,0
55,3028,Snowpeak,11S-02E-16,71,534590,4939050,56.1343,WY,0,0,0,1,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20232,HU,1,0,0
56,2226,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10160,,0,0,0
57,3023,Snowpeak,11S-02E-16,58,533524,4939000,44.179,WY,1,0,0,1,0,1,1,2020,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20236,HU,1,0,0
59,11699,Snowpeak,11S-02E-16,62,533880,4939640,94.7823,WY,1,0,0,1,0,1,0,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20237,HU,1,0,0
60,172359,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10663,,0,0,0
61,6236,Snowpeak,11S-02E-06,54,531282,4943940,80.3483,WY,1,0,0,1,0,1,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,21026,HU,1,1,0
63,2876,Snowpeak,11S-02E-06,59,530915,4942980,43.8643,WY,1,0,0,1,0,1,1,2022,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,21029,UU,1,0,0
64,33222,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10432,,0,0,0
65,3350,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10435,,0,0,0
66,6221,Snowpeak,10S-01E-36,50,528711,4944470,98.8547,WY,1,0,0,1,0,1,1,2014,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,21019,HU,1,0,0
67,3233,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10436,,0,0,0
68,3555,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10424,,0,0,0
69,3304,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10427,,0,0,0
70,3304,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10427,,0,0,0
71,3410,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10429,,0,0,0
72,0,Clackamas,07S-03E-05,100,541176,4982530,27.7418,BLM,0,0,0,1,0,1,1,0,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,16804,BU,1,1,0
73,15510,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10430,,0,0,0
76,10364,Snowpeak,11S-01E-10,58,526685,4941520,29.4589,WY,1,0,0,1,0,1,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20600,HU,1,0,0
77,9154,Snowpeak,11S-02E-34,67,535742,4934410,105.469,WY,1,0,0,1,0,1,1,2013,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20088,HU,1,0,0
79,9175,Snowpeak,11S-02E-35,64,536536,4934870,29.1389,WY,1,0,0,1,0,1,1,2013,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20090,HU,1,0,0
80,0,Snowpeak,09S-02E-13,74,538282,4960060,41.879,BLM,0,0,0,1,0,1,1,0,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,25954,BU,1,1,0
81,10138,Snowpeak,11S-01E-11,59,527795,4941200,46.4291,WY,1,0,0,1,0,1,1,2016,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20560,HU,1,0,0
82,26602,Snowpeak,"10S-01E-27, 26",90,526787,4946990,94.1728,WY,1,0,0,0,0,1,1,2016,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20818,HU,1,0,0
83,10370,Snowpeak,11S-01E-14,58,527679,4940430,117.385,WY,0,0,0,1,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20565,HU,1,0,0
84,2285,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10992,,0,0,0
87,4612,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10736,,0,0,0
88,1021,Clackamas,06S-03E-12,57,548530,4990070,134.955,WY,1,0,0,1,0,1,1,2016,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10482,HB,1,0,0
